,,yoshinari:LFHD,,,HSR:HSR1,,,HSR:HSR2,,,HSR:HSR3,,,HSR:HSR4,,,HSR:HSR5,,,HSR:HSR6,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
62,0,-3413.106934,-556.514771,1651.515991,-127.73584,1232.015381,1112.56604,-55.378147,1244.491211,1033.150024,-145.165222,1304.393188,1037.079712,-69.118126,1319.335571,1032.320312,-119.336708,1157.29895,1038.073242,-42.752815,1168.393677,1034.262207
63,0,-3415.419922,-557.779114,1651.410522,-127.766373,1232.023682,1112.574219,-55.403572,1244.520386,1033.161987,-145.173309,1304.393433,1037.099609,-69.107872,1319.338989,1032.329834,-119.341965,1157.309326,1038.094727,-42.772362,1168.410522,1034.276733
64,0,-3415.242432,-559.001648,1652.003418,-127.762634,1232.03479,1112.567993,-55.409233,1244.552612,1033.124023,-145.155853,1304.380371,1037.118408,-69.093597,1319.320679,1032.285034,-119.351501,1157.308472,1038.076782,-42.781315,1168.446777,1034.23584
65,0,-3415.919189,-560.055908,1652.72168,-127.739456,1232.037842,1112.545898,-55.402054,1244.55542,1033.119995,-145.147049,1304.359253,1037.081665,-69.080528,1319.334961,1032.275146,-119.323837,1157.297729,1038.047607,-42.773254,1168.418701,1034.217651
66,0,,,,-127.722565,1232.005249,1112.526123,-55.361137,1244.503174,1033.114502,-145.114334,1304.365601,1037.081909,-69.06749,1319.314331,1032.27478,-119.316475,1157.293457,1038.059692,-42.746529,1168.419678,1034.218994
67,0,-3419.07666,-562.441467,1653.998779,-127.72319,1232.014038,1112.54187,-55.362267,1244.490967,1033.138306,-145.118698,1304.370605,1037.106812,-69.074509,1319.311157,1032.289551,-119.313942,1157.282227,1038.055542,-42.740067,1168.38147,1034.234985
68,0,-3419.714111,-563.71228,1653.988037,-127.744286,1231.983765,1112.563477,-55.385056,1244.519897,1033.140869,-145.153503,1304.375244,1037.102051,-69.108376,1319.325195,1032.319336,-119.338249,1157.286865,1038.067993,-42.767197,1168.376953,1034.264038
69,0,-3420.303223,-564.654297,1654.365234,-127.754601,1232.020386,1112.571777,-55.358387,1244.262207,1033.128906,-145.164536,1304.365723,1037.083496,-69.122826,1319.344116,1032.322021,-119.354042,1157.297119,1038.080566,-42.770725,1168.407471,1034.250244
70,0,-3420.378662,-565.610657,1654.603394,-127.777069,1232.025513,1112.565674,-55.36591,1244.265869,1033.134277,-145.160309,1304.375488,1037.108887,-69.123169,1319.344238,1032.302612,-119.356888,1157.305664,1038.078247,-42.77169,1168.423096,1034.241089
71,0,-3419.862549,-566.651306,1654.890991,-127.743813,1232.028931,1112.548706,-55.409748,1244.549438,1033.13208,-145.147675,1304.348511,1037.097778,-69.074211,1319.325073,1032.27063,-119.33065,1157.295288,1038.052124,-42.758793,1168.427002,1034.206299
