,,yoshinari:CentreOfMass,,,HSR:HSR1,,,HSR:HSR2,,,HSR:HSR3,,,HSR:HSR4,,,HSR:HSR5,,,HSR:HSR6,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
37,0,-292.328,-725.062,936.09,-287.566315,1299.985229,1113.234375,-287.963318,1373.254883,1033.431519,-362.827606,1294.847046,1038.112183,-364.390106,1372.522461,1033.175293,-213.458435,1295.263916,1037.763062,-210.842331,1372.607178,1034.082397
38,0,-292.468,-725.025,936.15,-287.602417,1300.00647,1113.261963,-288.003998,1373.248413,1033.443481,-362.83847,1294.843018,1038.13916,-364.41806,1372.520386,1033.19519,-213.481216,1295.237671,1037.793335,-210.881058,1372.613281,1034.105713
39,0,-292.669,-724.977,936.208,-287.618408,1300.031372,1113.269531,-288.020386,1373.265503,1033.443359,-362.875366,1294.848999,1038.165405,-364.44281,1372.528442,1033.209961,-213.522675,1295.264893,1037.828003,-210.901993,1372.630615,1034.112427
40,0,-292.926,-724.943,936.239,-287.629456,1300.042236,1113.251953,-288.019531,1373.269653,1033.433105,-362.866272,1294.872925,1038.145996,-364.447021,1372.538452,1033.210327,-213.510193,1295.286011,1037.833984,-210.905762,1372.649536,1034.11731
41,0,-293.294,-724.951,936.209,-287.593536,1299.999878,1113.262695,-288.001282,1373.264648,1033.424927,-362.851471,1294.884766,1038.150635,-364.430573,1372.514282,1033.189331,-213.489594,1295.269043,1037.784424,-210.87178,1372.61499,1034.095825
42,0,-293.478,-724.909,936.206,-287.566681,1299.982178,1113.24646,-287.965302,1373.249023,1033.435181,-362.822815,1294.858398,1038.119507,-364.387512,1372.509521,1033.186768,-213.465744,1295.25,1037.762817,-210.84259,1372.598999,1034.071411
43,0,-293.608,-724.876,936.255,-287.557281,1299.981323,1113.242188,-287.955597,1373.25293,1033.425049,-362.822174,1294.859009,1038.117065,-364.381317,1372.50061,1033.171753,-213.462173,1295.254028,1037.756348,-210.846405,1372.612793,1034.076172
44,0,-293.818,-724.86,936.324,-287.568817,1300.032471,1113.248169,-287.982086,1373.256348,1033.433838,-362.830963,1294.86145,1038.136108,-364.412628,1372.527466,1033.185669,-213.481186,1295.268311,1037.783325,-210.867645,1372.627563,1034.074219
45,0,-294.045,-724.836,936.362,-287.621948,1300.030151,1113.259766,-288.009155,1373.269531,1033.453247,-362.858856,1294.844238,1038.1604,-364.443512,1372.549438,1033.215698,-213.495438,1295.252808,1037.810059,-210.892807,1372.646118,1034.104126
46,0,-294.207,-724.787,936.371,-287.634552,1300.031006,1113.273438,-288.023346,1373.264771,1033.450317,-362.886353,1294.8573,1038.171265,-364.470795,1372.547241,1033.227173,-213.510834,1295.255737,1037.804077,-210.918716,1372.632812,1034.109741
47,0,-294.477,-724.711,936.389,-287.60672,1300.002808,1113.257446,-288.007904,1373.25647,1033.440674,-362.870667,1294.862183,1038.15625,-364.442169,1372.53479,1033.2146,-213.495407,1295.262817,1037.805908,-210.882385,1372.609863,1034.106201
48,0,-294.71,-724.694,936.402,-287.562164,1299.979248,1113.254883,-287.971252,1373.241089,1033.4198,-362.840332,1294.866943,1038.142212,-364.401001,1372.494141,1033.198242,-213.482559,1295.257202,1037.781006,-210.853546,1372.594849,1034.094849
49,0,-294.874,-724.677,936.433,-287.554352,1299.975098,1113.226929,-287.961273,1373.256714,1033.40564,-362.819244,1294.864624,1038.11853,-364.392853,1372.494873,1033.173218,-213.462769,1295.263916,1037.7677,-210.836365,1372.614624,1034.06897
50,0,-295.034,-724.662,936.477,-287.574463,1300.016113,1113.254639,-287.963837,1373.244873,1033.428101,-362.827545,1294.843872,1038.137451,-364.398529,1372.510864,1033.168945,-213.458694,1295.257935,1037.791138,-210.85701,1372.628296,1034.080811
51,0,-295.191,-724.628,936.535,-287.595367,1300.013794,1113.254272,-288.003326,1373.262573,1033.434326,-362.848816,1294.852783,1038.155151,-364.433563,1372.541382,1033.210693,-213.487991,1295.258179,1037.810547,-210.88855,1372.629517,1034.09668
52,0,-295.384,-724.552,936.582,-287.628632,1300.044312,1113.25769,-288.021759,1373.263672,1033.434937,-362.886047,1294.868164,1038.168213,-364.46637,1372.572021,1033.221924,-213.502716,1295.261963,1037.815918,-210.894958,1372.637451,1034.098022
53,0,-295.587,-724.49,936.6,-287.622955,1300.043335,1113.265137,-288.014038,1373.275757,1033.432373,-362.861694,1294.888794,1038.150635,-364.443268,1372.558716,1033.216919,-213.516495,1295.299927,1037.79834,-210.882767,1372.630859,1034.097412
54,0,-295.782,-724.464,936.617,-287.582794,1300.017212,1113.263672,-287.987152,1373.249756,1033.41748,-362.840057,1294.869019,1038.140747,-364.425385,1372.536743,1033.2052,-213.480103,1295.260132,1037.7948,-210.855957,1372.607178,1034.089966
55,0,-295.905,-724.436,936.628,-287.567322,1299.971802,1113.247681,-287.9617,1373.238037,1033.416992,-362.82019,1294.847778,1038.118896,-364.382751,1372.479004,1033.189453,-213.472717,1295.259399,1037.778564,-210.842773,1372.593506,1034.089966
56,0,-296.057,-724.437,936.663,-287.579041,1299.976807,1113.236572,-287.972992,1373.243164,1033.431641,-362.823578,1294.843384,1038.127563,-364.396179,1372.502563,1033.176147,-213.461746,1295.243042,1037.785767,-210.857193,1372.603149,1034.088989
57,0,-296.09,-724.399,936.67,-287.592773,1300.006226,1113.25647,-287.989288,1373.249268,1033.44519,-362.841614,1294.836304,1038.145874,-364.430145,1372.516724,1033.200562,-213.47374,1295.239868,1037.794189,-210.883255,1372.61499,1034.099731
58,0,-296.177,-724.359,936.695,-287.611053,1300.044189,1113.263428,-288.003967,1373.275391,1033.443848,-362.855896,1294.859985,1038.160645,-364.444092,1372.546143,1033.209106,-213.507462,1295.271851,1037.820435,-210.888275,1372.645996,1034.092896
59,0,-296.432,-724.317,936.708,-287.622375,1300.025146,1113.263428,-288.004913,1373.282471,1033.443726,-362.87326,1294.875732,1038.160889,-364.447083,1372.578857,1033.214844,-213.507309,1295.28418,1037.807129,-210.889847,1372.638306,1034.098877
60,0,-296.52,-724.268,936.717,-287.575012,1299.994385,1113.254883,-287.975464,1373.259766,1033.415527,-362.850891,1294.878174,1038.135132,-364.423401,1372.508545,1033.210693,-213.488754,1295.286865,1037.805664,-210.863205,1372.614746,1034.096313
61,0,-296.672,-724.268,936.702,-287.56308,1299.970093,1113.258545,-287.96756,1373.262085,1033.427734,-362.827606,1294.850098,1038.12085,-364.389038,1372.485962,1033.204224,-213.472122,1295.251465,1037.775269,-210.857422,1372.601807,1034.093384
