patient_id,type_id,trial_id,n_frames,n_partialout_head,n_partialout_foot,n_partialout_left,n_partialout_right,n_totalout,time_partialout_head,time_partialout_foot,time_partialout_left,time_partialout_right,time_totalout,csvpath
09,08,00,415,0,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\09_08_00__2023-10-21-17-14-27_2d.csv
09,09,00,329,1,0,0,9,1,0.0,0,0.0,9.159934997558594,7.82193398475647,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\09_09_00__2023-10-21-17-17-32_2d.csv
09,10,00,424,0,0,8,0,0,0.0,0,1.237626075744629,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\09_10_00__2023-10-21-17-21-47_2d.csv
10,00,01,266,9,0,9,0,0,0.0,0,2.7763991355895996,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\10_00_01__2023-10-22-14-41-35_2d.csv
10,01,00,276,11,0,8,1,0,0.0,0,2.8099000453948975,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\10_01_00__2023-10-22-14-44-49_2d.csv
10,02,00,202,3,0,3,0,1,0.0,0,9.499988794326782,0.0,9.499988794326782,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\10_02_00__2023-10-22-14-48-17_2d.csv
10,03,00,221,1,0,4,0,1,0.0,0,3.3115246295928955,0.0,16.89251399040222,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\10_03_00__2023-10-22-14-52-14_2d.csv
10,04,00,171,3,0,1,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\10_04_00__2023-10-22-14-54-37_2d.csv
10,05,00,426,1,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\10_05_00__2023-10-22-14-58-25_2d.csv
10,06,00,318,0,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\10_06_00__2023-10-22-15-02-13_2d.csv
10,07,00,181,0,0,11,0,2,0.0,0,1.338010311126709,0.0,7.25453519821167,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\10_07_00__2023-10-22-15-04-56_2d.csv
10,08,00,334,0,0,3,0,0,0.0,0,0.20066285133361816,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\10_08_00__2023-10-22-15-08-15_2d.csv
10,09,00,203,1,0,7,0,5,0.0,0,0.3344719409942627,0.0,23.816661834716797,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\10_09_00__2023-10-22-15-11-01_2d.csv
10,10,00,270,0,0,0,0,1,0.0,0,0.0,0.0,6.355524063110352,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\10_10_00__2023-10-22-15-14-45_2d.csv
11,00,00,326,24,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\11_00_00__2023-10-22-15-39-25_2d.csv
11,01,00,335,30,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\11_01_00__2023-10-22-15-42-30_2d.csv
11,02,02,328,30,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\11_02_02__2023-10-22-15-50-41_2d.csv
11,03,00,252,25,0,11,0,0,3.8310229778289795,0,1.538640022277832,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\11_03_00__2023-10-22-15-54-03_2d.csv
11,04,00,240,11,0,5,0,0,0.5995156764984131,0,0.7454793453216553,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\11_04_00__2023-10-22-15-56-32_2d.csv
11,05,00,471,30,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\11_05_00__2023-10-22-15-59-10_2d.csv
