,sim_paths,exp_time,last_x,odom_paths,skeleton_paths
20,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_105850_04_07_00_yoshino\20231021_105852_od.csv,3444,7.347912754847821,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_09_00__2023-10-21-11-05-04.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\04_00_00__2023-10-21-10-26-47_skeleton.mp4
21,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_110211_04_08_00_yoshino\20231021_110213_od.csv,3241,7.354938009615323,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_10_01__2023-10-21-11-12-04.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\04_01_00__2023-10-21-10-31-04_skeleton.mp4
22,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_110513_04_09_00_yoshino\20231021_110516_od.csv,3783,7.358814028639142,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_00_00__2023-10-21-11-29-44.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\04_02_00__2023-10-21-10-39-44_skeleton.mp4
23,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_110919_04_10_00_yoshino\20231021_110921_od.csv,2425,0.41971263198817776,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_01_01__2023-10-21-11-35-22.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\04_03_00__2023-10-21-10-43-05_skeleton.mp4
24,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_111209_04_10_00_yoshino\20231021_111212_od.csv,3875,7.35331112749841,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_02_00__2023-10-21-11-38-29.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\04_04_00__2023-10-21-10-47-54_skeleton.mp4
25,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_113000_05_00_00_koyama\20231021_113002_od.csv,3530,7.309134135436029,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_03_00__2023-10-21-11-41-27.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\04_05_00__2023-10-21-10-51-00_skeleton.mp4
26,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_113239_05_01_00_koyama\20231021_113242_od.csv,3500,7.4947537735595615,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_04_00__2023-10-21-11-45-09.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\04_06_00__2023-10-21-10-54-44_skeleton.mp4
27,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_113537_05_01_01_koyama\20231021_113540_od.csv,3388,7.311970902780039,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_05_00__2023-10-21-11-48-46.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\04_07_00__2023-10-21-10-58-36_skeleton.mp4
28,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_113838_05_02_00_koyama\20231021_113840_od.csv,3758,7.332242233564853,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_06_00__2023-10-21-11-51-40.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\04_08_00__2023-10-21-11-02-01_skeleton.mp4
29,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_114152_05_03_00_koyama\20231021_114155_od.csv,3463,7.268468711507718,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_07_00__2023-10-21-11-55-04.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\04_09_00__2023-10-21-11-05-04_skeleton.mp4
