,t,x,y,z,vx,vy,vz
42,1703151644.3933764,9.55052257933712,-0.9503235164910088,0.6738891427636955,-0.0769138271359842,-0.028345109471826193,0.032487301441170055
43,1703151644.5574472,9.557650243416008,-0.9416890772549592,0.6742185787076905,0.043442600018800855,0.05262628625125097,0.002007888389294634
44,1703151644.5812707,9.558496302263293,-0.9404460829392776,0.6742587227858781,0.03551362556573068,0.05217513515647834,0.0016850621750575656
45,1703151644.6039655,9.558295383648913,-0.940428285909752,0.6742984694749043,-0.008853058105146182,0.000784188846684685,0.0017513546393986108
46,1703151644.6432884,9.561272404214627,-0.9373840108099945,0.674335533518619,0.07570713546708105,0.07741745221069048,0.00094255733762035
47,1703151644.7570136,9.567493823305524,-0.9371684936334441,0.6691107775337569,0.05470572828109592,0.0018950699073659602,-0.045941942998358146
48,1703151644.7679331,9.578638772241591,-0.9375052565542172,0.6640052644366049,1.0206398231952603,-0.030840307110269843,-0.46755620099207607
49,1703151644.8122332,9.57984614439254,-0.9395917961945501,0.6608090794329662,0.027254401544683355,-0.047100133253717966,-0.07214851645516819
50,1703151644.9550407,9.586287094975726,-0.9216178188818541,0.6597108161441192,0.045102332297439,0.12586159247676898,-0.007690516355298669
51,1703151645.0087647,9.590056170818928,-0.906910619722575,0.6587074619273825,0.07015621135396558,0.2737544733954376,-0.018676071647438664
52,1703151645.2038355,9.461177239066627,-0.9462014379555614,0.6594295251902487,-0.6606779130471566,-0.20141830351275608,0.0037015456530576436
53,1703151645.222424,9.420368626609395,-0.9573313493868381,0.659660127502115,-2.1953637029450923,-0.598751148396086,0.012405615256268312
54,1703151645.2523534,9.385563190211908,-0.9681618508977239,0.6598576026873768,-1.1629179666201495,-0.36186831995662067,0.006598033660028391
55,1703151645.2570047,9.384232708919885,-0.9685850561798705,0.6598643327912865,-0.2860445438031262,-0.0909862939017105,0.0014469271489555144
56,1703151645.40358,9.374588394081005,-0.9699209185280476,0.6636957069650371,-0.06579772033614248,-0.009113835317631672,0.026139304927215876
57,1703151645.4339912,9.369898146810591,-0.9694795334948435,0.6654780902880236,-0.15422740868405965,0.014513876556659797,0.05860935369440138
58,1703151645.4394925,9.364189722646259,-0.9696622275702252,0.6684352598905017,-1.0376556429815342,-0.03320943447819763,0.5375430481213527
59,1703151645.4789715,9.361142152456969,-0.9700626612917433,0.6693086200601697,-0.07719468216236733,-0.010142950593333151,0.022122135512323646
60,1703151645.6166074,9.357988728047175,-0.9652792257720872,0.6699309725883598,-0.022911343258544565,0.034754260417843554,0.004521729570210017
61,1703151645.6307197,9.344475742591946,-0.9646774645378656,0.6728970422688345,-0.9575369388388197,0.04264110340661046,0.21017718783419703
62,1703151645.6789212,9.343995697436581,-0.9625526190259523,0.6733922522722187,-0.009959120527714692,0.044082504154877536,0.010273733741735522
63,1703151645.7455845,9.343281882040593,-0.9622423626452413,0.6735172969544296,-0.010707777267494601,0.004654083169323203,0.0018757659376988076
64,1703151645.8286004,9.348681654582055,-0.966283147439412,0.6676811111474332,0.06504502538741729,-0.04867481870833304,-0.07030200829143599
65,1703151645.8789012,9.354707796546666,-0.9698367940023505,0.6631431235235488,0.11980202271686466,-0.07064786205851324,-0.09021694138607103
66,1703151645.9456773,9.354413392257019,-0.972805797634328,0.6603560134347807,-0.004408831400015578,-0.04446211179566387,-0.0417381774205147
67,1703151646.0425043,9.369096541454104,-0.9624868633303376,0.6576236768328358,0.15164308116755335,0.10657080243612481,-0.02821873806118261
68,1703151646.0789616,9.373554022306323,-0.9600969099706291,0.6567559396945367,0.12226579668429102,0.0655548641151422,-0.023801464559040707
69,1703151646.1455593,9.373136145484716,-0.9602320073257404,0.6566088956490757,-0.006274643431519424,-0.0020285588671961046,-0.002207944796866529
70,1703151646.278021,9.385467953095144,-0.942899787853478,0.6587782193279481,0.09309709583168808,0.13084694054264961,0.016376977390659343
71,1703151646.337556,9.399885924133613,-0.9269080274103572,0.660989969034466,0.24217724612660063,0.2686120324765575,0.037150543000584776
72,1703151646.5217266,9.398666306407588,-0.9247297454078106,0.6552551188166617,-0.006622212838254387,0.011827515076882155,-0.031138772360716382
73,1703151646.527478,9.399427266168194,-0.9212330240917905,0.6543339693625784,0.13230927197079415,0.6079804420125309,-0.16016170624960915
74,1703151646.5775483,9.399943091248947,-0.9198456048270248,0.6524915388964833,0.010302019901429975,0.027709433702604053,-0.03679688335633825
75,1703151646.6568975,9.400296891556064,-0.9200573384208576,0.6520355633823974,0.004458771519740252,-0.0026683745009903072,-0.005746435475060438
