Frame,hayashide_CentreOfMass_X,hayashide_CentreOfMass_Y,hayashide_CentreOfMass_Z,hayashide_LHeadAngles_X,hayashide_LHeadAngles_Y,hayashide_LHeadAngles_Z,hayashide_LNeckAngles_X,hayashide_LNeckAngles_Y,hayashide_LNeckAngles_Z,hayashide_RHeadAngles_X,hayashide_RHeadAngles_Y,hayashide_RHeadAngles_Z,hayashide_RNeckAngles_X,hayashide_RNeckAngles_Y,hayashide_RNeckAngles_Z,robot_X,robot_Y,robot_Z
114,,,,,,,,,,,,,,,,-1542.095215,57.900478,1142.33313
115,,,,,,,,,,,,,,,,-1542.115479,57.916992,1142.338989
116,,,,,,,,,,,,,,,,-1542.135254,57.926247,1142.361694
117,,,,,,,,,,,,,,,,-1542.158569,57.915237,1142.397583
118,,,,,,,,,,,,,,,,-1542.116943,57.914154,1142.37207
119,,,,,,,,,,,,,,,,-1542.09375,57.908676,1142.350586
120,,,,,,,,,,,,,,,,-1542.096069,57.910362,1142.331299
121,,,,,,,,,,,,,,,,-1542.141968,57.91301,1142.351074
122,,,,,,,,,,,,,,,,-1542.130005,57.916058,1142.359131
123,,,,,,,,,,,,,,,,-1542.129639,57.924225,1142.384888
124,,,,,,,,,,,,,,,,-1542.12915,57.909641,1142.377563
125,,,,,,,,,,,,,,,,-1542.119507,57.888691,1142.354736
126,,,,,,,,,,,,,,,,-1542.116333,57.895153,1142.325928
127,,,,,,,,,,,,,,,,-1542.107544,57.917496,1142.339233
128,,,,,,,,,,,,,,,,-1542.151123,57.931995,1142.350586
129,,,,,,,,,,,,,,,,-1542.160278,57.933235,1142.380737
130,,,,,,,,,,,,,,,,-1542.136597,57.90807,1142.385742
131,,,,,,,,,,,,,,,,-1542.143555,57.903015,1142.37915
132,,,,,,,,,,,,,,,,-1542.10144,57.890244,1142.338379
133,,,,,,,,,,,,,,,,-1542.122803,57.896931,1142.337158
134,,,,,,,,,,,,,,,,-1542.137817,57.907223,1142.339111
135,,,,,,,,,,,,,,,,-1542.139282,57.914936,1142.365723
136,,,,,,,,,,,,,,,,-1542.136841,57.902111,1142.374146
137,,,,,,,,,,,,,,,,-1542.122681,57.906975,1142.364624
138,,,,,,,,,,,,,,,,-1542.101562,57.891617,1142.350952
139,,,,,,,,,,,,,,,,-1542.099487,57.901352,1142.348389
140,,,,,,,,,,,,,,,,-1542.121338,57.903366,1142.354248
141,,,,,,,,,,,,,,,,-1542.131958,57.922638,1142.364502
142,,,,,,,,,,,,,,,,-1542.134399,57.917511,1142.381958
143,,,,,,,,,,,,,,,,-1542.126465,57.898853,1142.3927
144,,,,,,,,,,,,,,,,-1542.106567,57.881561,1142.356079
145,,,,,,,,,,,,,,,,-1542.106201,57.88287,1142.341919
146,,,,,,,,,,,,,,,,-1542.113281,57.913876,1142.34729
147,,,,,,,,,,,,,,,,-1542.144653,57.935478,1142.359497
148,,,,,,,,,,,,,,,,-1542.154785,57.938892,1142.371704
149,,,,,,,,,,,,,,,,-1542.126831,57.91449,1142.372681
150,,,,,,,,,,,,,,,,-1542.100464,57.904846,1142.354736
151,,,,,,,,,,,,,,,,-1542.112183,57.90583,1142.344116
152,,,,,,,,,,,,,,,,-1542.114746,57.899208,1142.326416
153,,,,,,,,,,,,,,,,-1542.132324,57.930176,1142.341553
154,,,,,,,,,,,,,,,,-1542.138794,57.929848,1142.375732
155,,,,,,,,,,,,,,,,-1542.139404,57.899467,1142.384277
156,,,,,,,,,,,,,,,,-1542.098267,57.881268,1142.354492
157,,,,,,,,,,,,,,,,-1542.103149,57.887856,1142.336182
158,,,,,,,,,,,,,,,,-1542.104126,57.895725,1142.319092
159,,,,,,,,,,,,,,,,-1542.112671,57.929176,1142.332886
160,,,,,,,,,,,,,,,,-1542.155029,57.930672,1142.373535
161,,,,,,,,,,,,,,,,-1542.132568,57.917885,1142.36499
162,,,,,,,,,,,,,,,,-1542.108154,57.894321,1142.365723
163,,,,,,,,,,,,,,,,-1542.084961,57.879211,1142.366333
164,,,,,,,,,,,,,,,,-1542.111206,57.891125,1142.332642
165,,,,,,,,,,,,,,,,-1542.139038,57.917622,1142.339478
