Frame,hayashide_CentreOfMass_X,hayashide_CentreOfMass_Y,hayashide_CentreOfMass_Z,hayashide_LHeadAngles_X,hayashide_LHeadAngles_Y,hayashide_LHeadAngles_Z,hayashide_LNeckAngles_X,hayashide_LNeckAngles_Y,hayashide_LNeckAngles_Z,hayashide_RHeadAngles_X,hayashide_RHeadAngles_Y,hayashide_RHeadAngles_Z,hayashide_RNeckAngles_X,hayashide_RNeckAngles_Y,hayashide_RNeckAngles_Z,hayashide_LThoraxAngles_X,hayashide_LThoraxAngles_Y,hayashide_LThoraxAngles_Z,hayashide_RThoraxAngles_X,hayashide_RThoraxAngles_Y,hayashide_RThoraxAngles_Z,robot_X,robot_Y,robot_Z
111,,,,,,,,,,,,,,,,,,,,,,-1537.779541,29.836931,1142.603516
112,,,,,,,,,,,,,,,,,,,,,,-1537.792847,29.854548,1142.624756
113,,,,,,,,,,,,,,,,,,,,,,-1537.812866,29.837502,1142.641235
114,,,,,,,,,,,,,,,,,,,,,,-1537.755005,29.797903,1142.614136
115,,,,,,,,,,,,,,,,,,,,,,-1537.725098,29.797037,1142.585815
116,,,,,,,,,,,,,,,,,,,,,,-1537.748169,29.807217,1142.592773
117,,,,,,,,,,,,,,,,,,,,,,-1537.766846,29.839155,1142.596069
118,,,,,,,,,,,,,,,,,,,,,,-1537.797729,29.860123,1142.624023
119,,,,,,,,,,,,,,,,,,,,,,-1537.776855,29.847332,1142.612671
120,,,,,,,,,,,,,,,,,,,,,,-1537.727783,29.835161,1142.599976
121,,,,,,,,,,,,,,,,,,,,,,-1537.72876,29.802343,1142.618774
122,,,,,,,,,,,,,,,,,,,,,,-1537.735596,29.799339,1142.607178
123,,,,,,,,,,,,,,,,,,,,,,-1537.766968,29.831266,1142.611938
124,,,,,,,,,,,,,,,,,,,,,,-1537.79834,29.853668,1142.625366
125,,,,,,,,,,,,,,,,,,,,,,-1537.7854,29.851206,1142.61731
126,,,,,,,,,,,,,,,,,,,,,,-1537.75769,29.822264,1142.625488
127,,,,,,,,,,,,,,,,,,,,,,-1537.732422,29.797602,1142.619873
128,,,,,,,,,,,,,,,,,,,,,,-1537.738647,29.81229,1142.599609
129,,,,,,,,,,,,,,,,,,,,,,-1537.755493,29.839075,1142.607788
130,,,,,,,,,,,,,,,,,,,,,,-1537.790527,29.848644,1142.631836
131,,,,,,,,,,,,,,,,,,,,,,-1537.803833,29.859066,1142.628418
132,,,,,,,,,,,,,,,,,,,,,,-1537.777222,29.840023,1142.630005
133,,,,,,,,,,,,,,,,,,,,,,-1537.749268,29.810177,1142.613159
134,,,,,,,,,,,,,,,,,,,,,,-1537.758301,29.802502,1142.620605
135,,,,,,,,,,,,,,,,,,,,,,-1537.745483,29.813183,1142.61084
136,,,,,,,,,,,,,,,,,,,,,,-1537.80127,29.849628,1142.615601
137,,,,,,,,,,,,,,,,,,,,,,-1537.798096,29.857721,1142.624634
138,,,,,,,,,,,,,,,,,,,,,,-1537.780029,29.84346,1142.62561
139,,,,,,,,,,,,,,,,,,,,,,-1537.762573,29.810997,1142.619385
140,,,,,,,,,,,,,,,,,,,,,,-1537.730469,29.798697,1142.622925
141,,,,,,,,,,,,,,,,,,,,,,-1537.747437,29.799942,1142.606689
142,,,,,,,,,,,,,,,,,,,,,,-1537.777588,29.840807,1142.610718
143,,,,,,,,,,,,,,,,,,,,,,-1537.797241,29.868851,1142.613647
144,,,,,,,,,,,,,,,,,,,,,,-1537.774902,29.8647,1142.628296
145,,,,,,,,,,,,,,,,,,,,,,-1537.749634,29.827276,1142.609131
146,,,,,,,,,,,,,,,,,,,,,,-1537.723877,29.793501,1142.605469
147,,,,,,,,,,,,,,,,,,,,,,-1537.73938,29.806364,1142.602539
148,,,,,,,,,,,,,,,,,,,,,,-1537.784668,29.840534,1142.622314
149,,,,,,,,,,,,,,,,,,,,,,-1537.797607,29.860815,1142.613281
150,,,,,,,,,,,,,,,,,,,,,,-1537.791138,29.872934,1142.627563
151,,,,,,,,,,,,,,,,,,,,,,-1537.75647,29.84762,1142.628174
152,,,,,,,,,,,,,,,,,,,,,,-1537.737305,29.80389,1142.61499
153,,,,,,,,,,,,,,,,,,,,,,-1537.751099,29.792366,1142.620361
154,,,,,,,,,,,,,,,,,,,,,,-1537.748535,29.827148,1142.627441
155,,,,,,,,,,,,,,,,,,,,,,-1537.778809,29.860229,1142.623291
156,,,,,,,,,,,,,,,,,,,,,,-1537.803467,29.879787,1142.615967
157,,,,,,,,,,,,,,,,,,,,,,-1537.775879,29.848978,1142.632202
158,,,,,,,,,,,,,,,,,,,,,,-1537.741943,29.814459,1142.619751
159,,,,,,,,,,,,,,,,,,,,,,-1537.729492,29.785088,1142.598511
160,,,,,,,,,,,,,,,,,,,,,,-1537.768433,29.813959,1142.612427
161,,,,,,,,,,,,,,,,,,,,,,-1537.769165,29.859821,1142.599487
162,,,,,,,,,,,,,,,,,,,,,,-1537.795288,29.885187,1142.623901
163,,,,,,,,,,,,,,,,,,,,,,-1537.782715,29.85442,1142.618408
164,,,,,,,,,,,,,,,,,,,,,,-1537.753662,29.815474,1142.620361
165,,,,,,,,,,,,,,,,,,,,,,-1537.717773,29.793087,1142.592896
166,,,,,,,,,,,,,,,,,,,,,,-1537.748779,29.800104,1142.609253
167,,,,,,,,,,,,,,,,,,,,,,-1537.769775,29.835985,1142.612061
168,,,,,,,,,,,,,,,,,,,,,,-1537.782349,29.873051,1142.611206
169,,,,,,,,,,,,,,,,,,,,,,-1537.781494,29.869633,1142.614136
170,,,,,,,,,,,,,,,,,,,,,,-1537.770752,29.822531,1142.620972
171,,,,,,,,,,,,,,,,,,,,,,-1537.74646,29.797649,1142.596191
172,,,,,,,,,,,,,,,,,,,,,,-1537.765625,29.806791,1142.618652
173,,,,,,,,,,,,,,,,,,,,,,-1537.764648,29.817719,1142.615356
174,,,,,,,,,,,,,,,,,,,,,,-1537.800293,29.86982,1142.615601
175,,,,,,,,,,,,,,,,,,,,,,-1537.77832,29.862164,1142.620361
176,,,,,,,,,,,,,,,,,,,,,,-1537.775513,29.845152,1142.609375
177,,,,,,,,,,,,,,,,,,,,,,-1537.762573,29.803038,1142.595459
178,,,,,,,,,,,,,,,,,,,,,,-1537.746094,29.781424,1142.586426
179,,,,,,,,,,,,,,,,,,,,,,-1537.750854,29.812349,1142.612305
180,,,,,,,,,,,,,,,,,,,,,,-1537.769043,29.85008,1142.616455
181,,,,,,,,,,,,,,,,,,,,,,-1537.796875,29.867455,1142.620605
182,,,,,,,,,,,,,,,,,,,,,,-1537.775391,29.834997,1142.611206
183,,,,,,,,,,,,,,,,,,,,,,-1537.733154,29.817711,1142.615356
184,,,,,,,,,,,,,,,,,,,,,,-1537.721924,29.774279,1142.603149
185,,,,,,,,,,,,,,,,,,,,,,-1537.750244,29.791119,1142.610718
186,,,,-5.65347,11.5179,29.502,,,,-5.65347,-11.5179,-29.502,,,,,,,,,,-1537.785156,29.836786,1142.621094
